Academic year,Economic Development Region,Institution,International_Domestic,Headcount
2010/2011,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,030"
2010/2011,Lower Mainland,University Of British Columbia Vancouver,International,"7,310"
2010/2011,Lower Mainland,British Columbia Institute Of Technology,Domestic,"40,685"
2010/2011,Lower Mainland,British Columbia Institute Of Technology,International,"2,305"
2010/2011,Lower Mainland,Simon Fraser University,Domestic,"28,005"
2010/2011,Lower Mainland,Simon Fraser University,International,"5,670"
2010/2011,Lower Mainland,Justice Institute Of British Columbia,Domestic,"28,665"
2010/2011,Lower Mainland,Justice Institute Of British Columbia,International,145
2010/2011,Lower Mainland,Douglas College,Domestic,"25,100"
2010/2011,Lower Mainland,Douglas College,International,"1,195"
2010/2011,Lower Mainland,Vancouver Community College,Domestic,"23,025"
2010/2011,Lower Mainland,Vancouver Community College,International,630
2010/2011,Lower Mainland,Langara College,Domestic,"19,715"
2010/2011,Lower Mainland,Langara College,International,"1,695"
2010/2011,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,525"
2010/2011,Lower Mainland,Kwantlen Polytechnic University,International,"1,340"
2010/2011,Lower Mainland,University Of The Fraser Valley,Domestic,"14,325"
2010/2011,Lower Mainland,University Of The Fraser Valley,International,890
2010/2011,Lower Mainland,Capilano University,Domestic,"13,675"
2010/2011,Lower Mainland,Capilano University,International,895
2010/2011,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"4,455"
2010/2011,Lower Mainland,Emily Carr University Of Art And Design,International,305
2010/2011,Vancouver Island and Coast,University Of Victoria,Domestic,"20,450"
2010/2011,Vancouver Island and Coast,University Of Victoria,International,"1,990"
2010/2011,Vancouver Island and Coast,Camosun College,Domestic,"19,060"
2010/2011,Vancouver Island and Coast,Camosun College,International,615
2010/2011,Vancouver Island and Coast,Vancouver Island University,Domestic,"16,650"
2010/2011,Vancouver Island and Coast,Vancouver Island University,International,"1,610"
2010/2011,Vancouver Island and Coast,North Island College,Domestic,"9,760"
2010/2011,Vancouver Island and Coast,North Island College,International,105
2010/2011,Vancouver Island and Coast,Royal Roads University,Domestic,"3,445"
2010/2011,Vancouver Island and Coast,Royal Roads University,International,80
2010/2011,Thompson Okanagan,Thompson Rivers University,Domestic,"24,215"
2010/2011,Thompson Okanagan,Thompson Rivers University,International,"2,280"
2010/2011,Thompson Okanagan,Okanagan College,Domestic,"19,995"
2010/2011,Thompson Okanagan,Okanagan College,International,580
2010/2011,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"6,780"
2010/2011,Thompson Okanagan,University Of British Columbia Okanagan,International,535
2010/2011,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,360"
2010/2011,Cariboo,College Of New Caledonia,Domestic,"10,040"
2010/2011,Thompson Okanagan,Nicola Valley Institute Of Technology,International,
2010/2011,Cariboo,College Of New Caledonia,International,285
2010/2011,Cariboo,University Of Northern British Columbia,Domestic,"3,870"
2010/2011,Cariboo,University Of Northern British Columbia,International,395
2010/2011,Kootenay,College Of The Rockies,Domestic,"12,330"
2010/2011,Kootenay,College Of The Rockies,International,190
2010/2011,Kootenay,Selkirk College,Domestic,"10,450"
2010/2011,Kootenay,Selkirk College,International,285
2010/2011,North,Northern Lights College,Domestic,"9,280"
2010/2011,North,Northern Lights College,International,120
2010/2011,North,Coast Mountain College,Domestic,"7,000"
2010/2011,North,Coast Mountain College,International,*
2011/2012,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,235"
2011/2012,Lower Mainland,University Of British Columbia Vancouver,International,"8,070"
2011/2012,Lower Mainland,British Columbia Institute Of Technology,Domestic,"40,875"
2011/2012,Lower Mainland,British Columbia Institute Of Technology,International,"1,975"
2011/2012,Lower Mainland,Simon Fraser University,Domestic,"27,635"
2011/2012,Lower Mainland,Simon Fraser University,International,"6,415"
2011/2012,Lower Mainland,Justice Institute Of British Columbia,Domestic,"32,525"
2011/2012,Lower Mainland,Justice Institute Of British Columbia,International,220
2011/2012,Lower Mainland,Douglas College,Domestic,"23,245"
2011/2012,Lower Mainland,Douglas College,International,"1,430"
2011/2012,Lower Mainland,Vancouver Community College,Domestic,"22,580"
2011/2012,Lower Mainland,Vancouver Community College,International,530
2011/2012,Lower Mainland,Langara College,Domestic,"19,730"
2011/2012,Lower Mainland,Langara College,International,"1,635"
2011/2012,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,805"
2011/2012,Lower Mainland,Kwantlen Polytechnic University,International,"1,435"
2011/2012,Lower Mainland,University Of The Fraser Valley,Domestic,"14,065"
2011/2012,Lower Mainland,University Of The Fraser Valley,International,895
2011/2012,Lower Mainland,Capilano University,Domestic,"13,815"
2011/2012,Lower Mainland,Capilano University,International,800
2011/2012,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"4,015"
2011/2012,Lower Mainland,Emily Carr University Of Art And Design,International,335
2011/2012,Vancouver Island and Coast,University Of Victoria,Domestic,"20,340"
2011/2012,Vancouver Island and Coast,University Of Victoria,International,"2,280"
2011/2012,Vancouver Island and Coast,Camosun College,Domestic,"18,715"
2011/2012,Vancouver Island and Coast,Camosun College,International,625
2011/2012,Vancouver Island and Coast,Vancouver Island University,Domestic,"15,565"
2011/2012,Vancouver Island and Coast,Vancouver Island University,International,"1,625"
2011/2012,Vancouver Island and Coast,North Island College,Domestic,"9,190"
2011/2012,Vancouver Island and Coast,North Island College,International,110
2011/2012,Vancouver Island and Coast,Royal Roads University,Domestic,"3,710"
2011/2012,Vancouver Island and Coast,Royal Roads University,International,170
2011/2012,Thompson Okanagan,Thompson Rivers University,Domestic,"25,210"
2011/2012,Thompson Okanagan,Thompson Rivers University,International,"2,470"
2011/2012,Thompson Okanagan,Okanagan College,Domestic,"19,925"
2011/2012,Thompson Okanagan,Okanagan College,International,495
2011/2012,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,535"
2011/2012,Thompson Okanagan,University Of British Columbia Okanagan,International,605
2011/2012,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,475"
2011/2012,Thompson Okanagan,Nicola Valley Institute Of Technology,International,*
2011/2012,Cariboo,College Of New Caledonia,Domestic,"9,605"
2011/2012,Cariboo,College Of New Caledonia,International,340
2011/2012,Cariboo,University Of Northern British Columbia,Domestic,"3,765"
2011/2012,Cariboo,University Of Northern British Columbia,International,460
2011/2012,Kootenay,College Of The Rockies,Domestic,"12,605"
2011/2012,Kootenay,College Of The Rockies,International,195
2011/2012,Kootenay,Selkirk College,Domestic,"10,715"
2011/2012,Kootenay,Selkirk College,International,240
2011/2012,North,Northern Lights College,Domestic,"9,150"
2011/2012,North,Northern Lights College,International,105
2011/2012,North,Coast Mountain College,Domestic,"5,660"
2011/2012,North,Coast Mountain College,International,*
2012/2013,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,315"
2012/2013,Lower Mainland,University Of British Columbia Vancouver,International,"8,750"
2012/2013,Lower Mainland,British Columbia Institute Of Technology,Domestic,"41,085"
2012/2013,Lower Mainland,British Columbia Institute Of Technology,International,"2,060"
2012/2013,Lower Mainland,Simon Fraser University,Domestic,"27,350"
2012/2013,Lower Mainland,Simon Fraser University,International,"6,380"
2012/2013,Lower Mainland,Justice Institute Of British Columbia,Domestic,"27,740"
2012/2013,Lower Mainland,Justice Institute Of British Columbia,International,175
2012/2013,Lower Mainland,Douglas College,Domestic,"21,935"
2012/2013,Lower Mainland,Douglas College,International,"1,690"
2012/2013,Lower Mainland,Vancouver Community College,Domestic,"21,510"
2012/2013,Lower Mainland,Vancouver Community College,International,535
2012/2013,Lower Mainland,Langara College,Domestic,"18,755"
2012/2013,Lower Mainland,Langara College,International,"1,760"
2012/2013,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,525"
2012/2013,Lower Mainland,Kwantlen Polytechnic University,International,"1,715"
2012/2013,Lower Mainland,University Of The Fraser Valley,Domestic,"14,645"
2012/2013,Lower Mainland,University Of The Fraser Valley,International,"1,060"
2012/2013,Lower Mainland,Capilano University,Domestic,"13,665"
2012/2013,Lower Mainland,Capilano University,International,835
2012/2013,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"3,770"
2012/2013,Lower Mainland,Emily Carr University Of Art And Design,International,375
2012/2013,Vancouver Island and Coast,University Of Victoria,Domestic,"20,180"
2012/2013,Vancouver Island and Coast,University Of Victoria,International,"2,665"
2012/2013,Vancouver Island and Coast,Camosun College,Domestic,"17,595"
2012/2013,Vancouver Island and Coast,Camosun College,International,785
2012/2013,Vancouver Island and Coast,Vancouver Island University,Domestic,"15,730"
2012/2013,Vancouver Island and Coast,Vancouver Island University,International,"1,840"
2012/2013,Vancouver Island and Coast,North Island College,Domestic,"8,925"
2012/2013,Vancouver Island and Coast,North Island College,International,155
2012/2013,Vancouver Island and Coast,Royal Roads University,Domestic,"3,475"
2012/2013,Vancouver Island and Coast,Royal Roads University,International,300
2012/2013,Thompson Okanagan,Thompson Rivers University,Domestic,"26,250"
2012/2013,Thompson Okanagan,Thompson Rivers University,International,"2,585"
2012/2013,Thompson Okanagan,Okanagan College,Domestic,"18,905"
2012/2013,Thompson Okanagan,Okanagan College,International,510
2012/2013,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,780"
2012/2013,Thompson Okanagan,University Of British Columbia Okanagan,International,760
2012/2013,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,415"
2012/2013,Cariboo,College Of New Caledonia,Domestic,"8,555"
2012/2013,Thompson Okanagan,Nicola Valley Institute Of Technology,International,
2012/2013,Cariboo,College Of New Caledonia,International,385
2012/2013,Cariboo,University Of Northern British Columbia,Domestic,"3,685"
2012/2013,Cariboo,University Of Northern British Columbia,International,465
2012/2013,Kootenay,College Of The Rockies,Domestic,"10,570"
2012/2013,Kootenay,College Of The Rockies,International,215
2012/2013,Kootenay,Selkirk College,Domestic,"9,875"
2012/2013,Kootenay,Selkirk College,International,250
2012/2013,North,Northern Lights College,Domestic,"8,055"
2012/2013,North,Northern Lights College,International,165
2012/2013,North,Coast Mountain College,Domestic,"5,330"
2012/2013,North,Coast Mountain College,International,*
2013/2014,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,055"
2013/2014,Lower Mainland,University Of British Columbia Vancouver,International,"9,790"
2013/2014,Lower Mainland,British Columbia Institute Of Technology,Domestic,"41,150"
2013/2014,Lower Mainland,British Columbia Institute Of Technology,International,"2,260"
2013/2014,Lower Mainland,Simon Fraser University,Domestic,"27,545"
2013/2014,Lower Mainland,Simon Fraser University,International,"6,395"
2013/2014,Lower Mainland,Justice Institute Of British Columbia,Domestic,"28,070"
2013/2014,Lower Mainland,Justice Institute Of British Columbia,International,130
2013/2014,Lower Mainland,Douglas College,Domestic,"22,100"
2013/2014,Lower Mainland,Douglas College,International,"1,950"
2013/2014,Lower Mainland,Langara College,Domestic,"18,350"
2013/2014,Lower Mainland,Langara College,International,"2,065"
2013/2014,Lower Mainland,Vancouver Community College,Domestic,"19,415"
2013/2014,Lower Mainland,Vancouver Community College,International,535
2013/2014,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,440"
2013/2014,Lower Mainland,Kwantlen Polytechnic University,International,"1,965"
2013/2014,Lower Mainland,University Of The Fraser Valley,Domestic,"13,715"
2013/2014,Lower Mainland,University Of The Fraser Valley,International,905
2013/2014,Lower Mainland,Capilano University,Domestic,"12,780"
2013/2014,Lower Mainland,Capilano University,International,850
2013/2014,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"3,520"
2013/2014,Lower Mainland,Emily Carr University Of Art And Design,International,400
2013/2014,Vancouver Island and Coast,University Of Victoria,Domestic,"20,350"
2013/2014,Vancouver Island and Coast,University Of Victoria,International,"3,150"
2013/2014,Vancouver Island and Coast,Camosun College,Domestic,"17,240"
2013/2014,Vancouver Island and Coast,Camosun College,International,"1,150"
2013/2014,Vancouver Island and Coast,Vancouver Island University,Domestic,"14,955"
2013/2014,Vancouver Island and Coast,Vancouver Island University,International,"1,885"
2013/2014,Vancouver Island and Coast,North Island College,Domestic,"8,605"
2013/2014,Vancouver Island and Coast,North Island College,International,230
2013/2014,Vancouver Island and Coast,Royal Roads University,Domestic,"3,380"
2013/2014,Vancouver Island and Coast,Royal Roads University,International,390
2013/2014,Thompson Okanagan,Thompson Rivers University,Domestic,"27,165"
2013/2014,Thompson Okanagan,Thompson Rivers University,International,"2,740"
2013/2014,Thompson Okanagan,Okanagan College,Domestic,"18,435"
2013/2014,Thompson Okanagan,Okanagan College,International,795
2013/2014,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,775"
2013/2014,Thompson Okanagan,University Of British Columbia Okanagan,International,875
2013/2014,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,505"
2013/2014,Thompson Okanagan,Nicola Valley Institute Of Technology,International,20
2013/2014,Cariboo,College Of New Caledonia,Domestic,"9,125"
2013/2014,Cariboo,College Of New Caledonia,International,390
2013/2014,Cariboo,University Of Northern British Columbia,Domestic,"3,555"
2013/2014,Cariboo,University Of Northern British Columbia,International,465
2013/2014,Kootenay,Selkirk College,Domestic,"11,185"
2013/2014,Kootenay,Selkirk College,International,345
2013/2014,Kootenay,College Of The Rockies,Domestic,"10,325"
2013/2014,Kootenay,College Of The Rockies,International,380
2013/2014,North,Northern Lights College,Domestic,"7,400"
2013/2014,North,Northern Lights College,International,230
2013/2014,North,Coast Mountain College,Domestic,"5,270"
2013/2014,North,Coast Mountain College,International,*
2014/2015,Lower Mainland,University Of British Columbia Vancouver,Domestic,"42,910"
2014/2015,Lower Mainland,University Of British Columbia Vancouver,International,"11,180"
2014/2015,Lower Mainland,British Columbia Institute Of Technology,Domestic,"41,700"
2014/2015,Lower Mainland,British Columbia Institute Of Technology,International,"2,590"
2014/2015,Lower Mainland,Simon Fraser University,Domestic,"26,945"
2014/2015,Lower Mainland,Simon Fraser University,International,"6,600"
2014/2015,Lower Mainland,Justice Institute Of British Columbia,Domestic,"30,575"
2014/2015,Lower Mainland,Justice Institute Of British Columbia,International,425
2014/2015,Lower Mainland,Douglas College,Domestic,"21,685"
2014/2015,Lower Mainland,Douglas College,International,"2,175"
2014/2015,Lower Mainland,Langara College,Domestic,"17,465"
2014/2015,Lower Mainland,Langara College,International,"2,945"
2014/2015,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,210"
2014/2015,Lower Mainland,Kwantlen Polytechnic University,International,"2,245"
2014/2015,Lower Mainland,Vancouver Community College,Domestic,"16,130"
2014/2015,Lower Mainland,Vancouver Community College,International,595
2014/2015,Lower Mainland,University Of The Fraser Valley,Domestic,"13,295"
2014/2015,Lower Mainland,University Of The Fraser Valley,International,"1,055"
2014/2015,Lower Mainland,Capilano University,Domestic,"11,200"
2014/2015,Lower Mainland,Capilano University,International,995
2014/2015,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"3,360"
2014/2015,Lower Mainland,Emily Carr University Of Art And Design,International,465
2014/2015,Vancouver Island and Coast,University Of Victoria,Domestic,"20,065"
2014/2015,Vancouver Island and Coast,University Of Victoria,International,"3,765"
2014/2015,Vancouver Island and Coast,Camosun College,Domestic,"17,040"
2014/2015,Vancouver Island and Coast,Camosun College,International,"1,510"
2014/2015,Vancouver Island and Coast,Vancouver Island University,Domestic,"13,935"
2014/2015,Vancouver Island and Coast,Vancouver Island University,International,"2,130"
2014/2015,Vancouver Island and Coast,North Island College,Domestic,"8,195"
2014/2015,Vancouver Island and Coast,North Island College,International,295
2014/2015,Vancouver Island and Coast,Royal Roads University,Domestic,"3,465"
2014/2015,Vancouver Island and Coast,Royal Roads University,International,495
2014/2015,Thompson Okanagan,Thompson Rivers University,Domestic,"26,855"
2014/2015,Thompson Okanagan,Thompson Rivers University,International,"2,885"
2014/2015,Thompson Okanagan,Okanagan College,Domestic,"18,280"
2014/2015,Thompson Okanagan,Okanagan College,International,935
2014/2015,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,450"
2014/2015,Thompson Okanagan,University Of British Columbia Okanagan,International,980
2014/2015,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,365"
2014/2015,Thompson Okanagan,Nicola Valley Institute Of Technology,International,95
2014/2015,Cariboo,College Of New Caledonia,Domestic,"8,105"
2014/2015,Cariboo,College Of New Caledonia,International,460
2014/2015,Cariboo,University Of Northern British Columbia,Domestic,"3,365"
2014/2015,Cariboo,University Of Northern British Columbia,International,425
2014/2015,Kootenay,Selkirk College,Domestic,"11,480"
2014/2015,Kootenay,Selkirk College,International,570
2014/2015,Kootenay,College Of The Rockies,Domestic,"9,805"
2014/2015,Kootenay,College Of The Rockies,International,380
2014/2015,North,Northern Lights College,Domestic,"7,010"
2014/2015,North,Northern Lights College,International,435
2014/2015,North,Coast Mountain College,Domestic,"5,125"
2014/2015,North,Coast Mountain College,International,*
